Name, Party, n_Spouses, n_Children, Religion, Birthyear 
Al_Gore_presidential_campaign,_2000, Democratic Party (United States), 1, 0, None, None 
United_States_Senate_career_of_Barack_Obama,Democratic Party (United States),1,0,NA,1961,0,baby_boomers
Vice_presidency_of_Al_Gore,Democratic Party (United States),1,2,Undefined Christian,1948,0,baby_boomers
Timeline_of_the_presidency_of_John_F._Kennedy,Democratic Party (United States),1,4,Undefined Christian,1917,0,greatest_generation
Presidency_of_Barack_Obama,Democratic Party (United States),1,1,NA,1961,0,baby_boomers
Presidency_of_Bill_Clinton,Democratic Party (United States),1,1,Undefined Christian,1946,0,baby_boomers
Presidency_of_George_W._Bush,Republican Party (United States),1,0,Progressive Christian,1946,0,baby_boomers
Presidency_of_Jimmy_Carter,Democratic Party (United States),1,2,Undefined Christian,1924,0,greatest_generation
Presidency_of_Richard_Nixon,Republican Party (United States),1,2,Conservative Christian,1913,0,greatest_generation
Presidency_of_Ronald_Reagan,Republican Party (United States),2,0,Undefined Christian,1911,1,greatest_generation
Political_positions_of_Dianne_Feinstein,Democratic Party (United States),1,0,Non Christian,1933,0,silent_generation
Political_positions_of_Rudy_Giuliani,Republican Party (United States),3,0,NA,1944,2,silent_generation
Illinois_Senate_career_of_Barack_Obama,Democratic Party (United States),1,1,NA,1961,0,baby_boomers
List_of_Hillary_Clinton_presidential_campaign_endorsements,_2008, Democratic Party (United States), 0, 0, None, None 
Mayoralty_of_Dianne_Feinstein, Democratic Party (United States), 1, 0, Judaism, 1933 